nome;email;email_corporativo;area;cargo;funcao;localidade;tempo_de_empresa;genero;geracao;n0_empresa;n1_diretoria;n2_gerencia;n3_coordenacao;n4_area;Data da Resposta;Interesse no Cargo;Comentários - Interesse no Cargo;Contribuição;Comentários - Contribuição;Aprendizado e Desenvolvimento;Comentários - Aprendizado e Desenvolvimento;Feedback;Comentários - Feedback;Interação com Gestor;Comentários - Interação com Gestor;Clareza sobre Possibilidades de Carreira;Comentários - Clareza sobre Possibilidades de Carreira;Expectativa de Permanência;Comentários - Expectativa de Permanência;eNPS;[Aberta] eNPS
Demo 156;demo156@pinpeople.com.br;demo156@pinpeople.com.br;administrativo;coordenador;gestor;são paulo;entre 1 e 2 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;7;-;7;-;6;-;1;-;7;-;3;-;5;-;4;A cultura de feedback é forte e construtiva.
Demo 157;demo157@pinpeople.com.br;demo157@pinpeople.com.br;comercial;estagiário;profissional;brasília;menos de 1 ano;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;3;-;7;-;7;-;5;-;6;-;7;-;6;-;10;Sinto que a comunicação interna poderia ser mais eficaz.
Demo 158;demo158@pinpeople.com.br;demo158@pinpeople.com.br;financeiro;estagiário;profissional;porto alegre;entre 1 e 2 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;6;-;6;-;6;-;7;O feedback que recebo é sempre construtivo.;2;-;3;-;5;-;7;A empresa oferece boas oportunidades de desenvolvimento profissional.
Demo 159;demo159@pinpeople.com.br;demo159@pinpeople.com.br;recursos humanos;analista;profissional;recife;mais de 5 anos;outro;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;3;Estou interessado em assumir projetos de maior complexidade.;7;-;7;-;1;-;1;-;4;-;2;-;9;Gostaria de ver mais reconhecimento pelo trabalho bem feito.
Demo 160;demo160@pinpeople.com.br;demo160@pinpeople.com.br;tecnologia;analista;profissional;porto alegre;entre 1 e 2 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;6;-;6;-;7;-;5;-;6;-;7;Entendo claramente as etapas para avançar na minha carreira aqui.;2;-;6;A liderança demonstra compromisso com o sucesso da equipe.
Demo 161;demo161@pinpeople.com.br;demo161@pinpeople.com.br;administrativo;analista;profissional;são paulo;entre 2 e 5 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;5;-;7;-;6;-;5;-;5;-;3;-;4;-;9;Sinto que há pouca inovação nos projetos atuais.
Demo 162;demo162@pinpeople.com.br;demo162@pinpeople.com.br;comercial;analista;profissional;são paulo;menos de 1 ano;outro;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;7;-;6;-;7;-;6;-;4;-;5;-;6;-;10;A empresa valoriza a diversidade e a inclusão.
Demo 163;demo163@pinpeople.com.br;demo163@pinpeople.com.br;financeiro;coordenador;profissional;recife;entre 1 e 2 anos;feminino;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b211;20/01/2022;6;-;7;-;5;-;7;-;7;-;2;-;4;-;9;Gostaria de ter mais oportunidades de liderar iniciativas.
Demo 164;demo164@pinpeople.com.br;demo164@pinpeople.com.br;recursos humanos;coordenador;profissional;brasília;menos de 1 ano;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;2;-;2;-;4;-;6;-;4;-;2;-;2;Estou reavaliando minha permanência devido a alguns desafios.;6;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 165;demo165@pinpeople.com.br;demo165@pinpeople.com.br;tecnologia;coordenador;profissional;manaus;mais de 5 anos;feminino;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;3;-;7;-;7;-;1;-;7;-;7;-;1;-;10;Sinto que há falta de suporte para meu desenvolvimento profissional.
Demo 166;demo166@pinpeople.com.br;demo166@pinpeople.com.br;administrativo;gerente;gestor;porto alegre;menos de 1 ano;masculino;geração x;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;5;-;6;-;6;-;5;-;5;-;5;-;7;-;5;A empresa valoriza a transparência e a honestidade.
Demo 167;demo167@pinpeople.com.br;demo167@pinpeople.com.br;comercial;gerente;gestor;recife;menos de 1 ano;feminino;baby boomer;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;3;-;6;-;6;-;7;-;4;-;7;-;3;-;7;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 168;demo168@pinpeople.com.br;demo168@pinpeople.com.br;financeiro;coordenador;gestor;brasília;entre 2 e 5 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;6;Tenho interesse em posições que envolvam pesquisa e desenvolvimento.;6;-;5;-;7;Sinto falta de reconhecimento pelo meu esforço extra.;1;-;4;-;2;-;9;A liderança incentiva a criatividade e a inovação.
Demo 169;demo169@pinpeople.com.br;demo169@pinpeople.com.br;recursos humanos;estagiário;profissional;recife;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;5;Sinto que meu cargo atual é desafiador e gratificante.;5;-;6;-;7;-;5;-;4;-;5;-;8;Sinto que meu trabalho é reconhecido e valorizado.
Demo 170;demo170@pinpeople.com.br;demo170@pinpeople.com.br;tecnologia;estagiário;profissional;brasília;entre 1 e 2 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;7;-;4;-;7;-;6;-;4;-;6;-;3;Pretendo continuar enquanto houver oportunidades de crescimento.;10;A empresa oferece bons programas de saúde e bem-estar.
Demo 171;demo171@pinpeople.com.br;demo171@pinpeople.com.br;administrativo;analista;profissional;brasília;menos de 1 ano;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;7;-;5;-;6;-;6;-;5;-;4;-;7;-;10;Gostaria de ver mais iniciativas de responsabilidade social corporativa.
Demo 172;demo172@pinpeople.com.br;demo172@pinpeople.com.br;comercial;analista;profissional;porto alegre;entre 2 e 5 anos;outro;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;7;-;6;Sinto que posso contribuir ainda mais com os recursos adequados.;7;-;2;-;5;-;3;-;5;-;9;A comunicação entre equipes é eficiente e colaborativa.
Demo 173;demo173@pinpeople.com.br;demo173@pinpeople.com.br;financeiro;analista;profissional;manaus;mais de 5 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;7;-;7;Estou comprometido em superar as metas estabelecidas.;5;-;7;O feedback me ajuda a melhorar continuamente.;5;A comunicação com meu gestor é eficiente e direta.;6;-;3;-;3;Sinto que a carga de trabalho está afetando minha saúde mental.
Demo 174;demo174@pinpeople.com.br;demo174@pinpeople.com.br;recursos humanos;analista;profissional;são paulo;menos de 1 ano;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;7;-;7;-;6;Sinto que há poucas oportunidades de aprendizado formal.;7;-;4;-;3;-;7;-;9;A empresa valoriza e respeita as contribuições individuais.
Demo 175;demo175@pinpeople.com.br;demo175@pinpeople.com.br;tecnologia;coordenador;profissional;porto alegre;entre 2 e 5 anos;feminino;geração y;empresa;diretoria b;gerência b2;coordenação b21;área b212;20/01/2022;2;-;6;-;7;-;7;-;4;-;3;-;2;-;10;Gostaria de ver mais oportunidades de treinamento e desenvolvimento.
Demo 176;demo176@pinpeople.com.br;demo176@pinpeople.com.br;administrativo;coordenador;profissional;porto alegre;entre 2 e 5 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;4;-;1;Acredito que minha experiência agrega valor.;7;-;7;-;7;-;3;-;3;-;7;A liderança demonstra empatia e compreensão.
Demo 177;demo177@pinpeople.com.br;demo177@pinpeople.com.br;comercial;coordenador;profissional;recife;entre 1 e 2 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;6;-;6;-;7;-;5;-;7;-;1;-;2;-;5;Sinto que há pouca transparência nas decisões corporativas.
Demo 178;demo178@pinpeople.com.br;demo178@pinpeople.com.br;financeiro;gerente;gestor;manaus;entre 1 e 2 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;7;-;6;-;5;-;5;-;6;-;4;Sinto que há falta de informações sobre promoções internas.;7;-;9;A empresa oferece um ambiente de trabalho inclusivo e diversificado.
Demo 179;demo179@pinpeople.com.br;demo179@pinpeople.com.br;recursos humanos;gerente;gestor;recife;menos de 1 ano;feminino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;4;-;6;-;6;-;6;-;4;-;2;-;3;-;8;Gostaria de ter mais oportunidades de participar de projetos estratégicos.
Demo 180;demo180@pinpeople.com.br;demo180@pinpeople.com.br;tecnologia;gerente;gestor;brasília;entre 1 e 2 anos;masculino;baby boomer;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;6;-;4;-;6;-;5;-;3;-;7;-;3;-;7;A cultura da empresa promove a inovação e a melhoria contínua.
Demo 181;demo181@pinpeople.com.br;demo181@pinpeople.com.br;administrativo;estagiário;profissional;porto alegre;entre 1 e 2 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;7;-;2;Sinto que trabalho bem sob pressão e isso beneficia a equipe.;6;Sinto necessidade de desenvolvimento em habilidades técnicas específicas.;6;-;2;-;5;-;5;-;7;Sinto que meu trabalho é impactante e significativo.
Demo 182;demo182@pinpeople.com.br;demo182@pinpeople.com.br;comercial;estagiário;profissional;são paulo;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;6;-;7;-;7;-;7;-;5;-;3;-;2;-;5;A empresa oferece benefícios competitivos e atrativos.
Demo 183;demo183@pinpeople.com.br;demo183@pinpeople.com.br;financeiro;analista;profissional;manaus;menos de 1 ano;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;6;-;6;-;6;Sinto que o aprendizado é contínuo aqui.;4;Sinto que minhas conquistas são reconhecidas.;5;-;4;-;1;-;7;Gostaria de ver mais iniciativas para melhorar o bem-estar dos funcionários.
Demo 184;demo184@pinpeople.com.br;demo184@pinpeople.com.br;recursos humanos;analista;profissional;porto alegre;menos de 1 ano;outro;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;7;-;6;-;7;-;7;-;7;-;2;-;4;-;9;A liderança é inspiradora e motivadora.
Demo 185;demo185@pinpeople.com.br;demo185@pinpeople.com.br;tecnologia;analista;profissional;brasília;menos de 1 ano;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;7;-;6;-;4;-;4;-;6;-;6;-;3;-;6;Sinto que há falta de oportunidades de crescimento na minha área.
Demo 186;demo186@pinpeople.com.br;demo186@pinpeople.com.br;administrativo;analista;profissional;brasília;entre 2 e 5 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;1;-;7;-;6;-;4;-;5;-;6;-;7;-;9;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 187;demo187@pinpeople.com.br;demo187@pinpeople.com.br;comercial;coordenador;profissional;brasília;entre 2 e 5 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;5;-;6;-;1;-;4;-;4;-;7;-;5;-;10;Gostaria de ter mais clareza nas expectativas de carreira.
Demo 188;demo188@pinpeople.com.br;demo188@pinpeople.com.br;financeiro;coordenador;profissional;porto alegre;entre 2 e 5 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;6;-;6;-;7;-;7;-;5;-;3;-;3;-;8;A cultura de feedback é forte e construtiva.
Demo 189;demo189@pinpeople.com.br;demo189@pinpeople.com.br;recursos humanos;coordenador;profissional;porto alegre;menos de 1 ano;outro;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b221;20/01/2022;7;-;2;-;7;-;4;As avaliações de desempenho são claras e objetivas.;7;-;5;Gostaria de ter um plano de carreira definido.;2;-;9;Sinto que a comunicação interna poderia ser mais eficaz.
Demo 190;demo190@pinpeople.com.br;demo190@pinpeople.com.br;tecnologia;gerente;gestor;manaus;entre 2 e 5 anos;outro;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;7;-;7;Meu trabalho tem impacto direto nos resultados da empresa.;6;-;7;-;5;Gostaria que meu gestor promovesse mais reuniões de equipe.;2;-;5;-;7;A empresa oferece boas oportunidades de desenvolvimento profissional.
Demo 191;demo191@pinpeople.com.br;demo191@pinpeople.com.br;administrativo;gerente;gestor;recife;entre 2 e 5 anos;masculino;geração x;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;6;-;4;-;6;-;3;-;6;-;6;-;1;-;2;Gostaria de ver mais reconhecimento pelo trabalho bem feito.
Demo 192;demo192@pinpeople.com.br;demo192@pinpeople.com.br;comercial;coordenador;gestor;são paulo;menos de 1 ano;outro;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;3;-;6;-;6;Gostaria de ter acesso a mais treinamentos técnicos.;1;-;1;-;3;-;5;-;10;A liderança demonstra compromisso com o sucesso da equipe.
Demo 193;demo193@pinpeople.com.br;demo193@pinpeople.com.br;financeiro;estagiário;profissional;brasília;mais de 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;4;-;7;-;6;-;2;-;4;-;6;-;6;Sinto-me valorizado e isso me incentiva a permanecer.;10;Sinto que há pouca inovação nos projetos atuais.
Demo 194;demo194@pinpeople.com.br;demo194@pinpeople.com.br;recursos humanos;estagiário;profissional;brasília;menos de 1 ano;outro;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;7;-;7;-;7;-;7;-;5;-;4;-;6;-;8;A empresa valoriza a diversidade e a inclusão.
Demo 195;demo195@pinpeople.com.br;demo195@pinpeople.com.br;tecnologia;analista;profissional;recife;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;3;-;6;-;6;-;7;-;6;-;3;-;3;-;8;Gostaria de ter mais oportunidades de liderar iniciativas.
Demo 196;demo196@pinpeople.com.br;demo196@pinpeople.com.br;administrativo;analista;profissional;recife;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;7;-;7;-;6;-;5;-;7;-;3;-;4;-;7;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 197;demo197@pinpeople.com.br;demo197@pinpeople.com.br;comercial;analista;profissional;manaus;entre 1 e 2 anos;feminino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;6;-;6;Minha experiência tem sido fundamental para o sucesso dos projetos.;7;-;7;Gostaria de mais oportunidades para discutir meu progresso.;7;-;6;-;6;-;9;Sinto que há falta de suporte para meu desenvolvimento profissional.
Demo 198;demo198@pinpeople.com.br;demo198@pinpeople.com.br;financeiro;analista;profissional;porto alegre;entre 2 e 5 anos;masculino;geração z;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;7;-;6;-;7;-;5;-;4;-;6;-;4;-;5;A empresa valoriza a transparência e a honestidade.
Demo 199;demo199@pinpeople.com.br;demo199@pinpeople.com.br;recursos humanos;coordenador;profissional;porto alegre;entre 2 e 5 anos;masculino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;6;-;6;-;6;-;7;-;3;-;7;-;7;-;9;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 200;demo200@pinpeople.com.br;demo200@pinpeople.com.br;tecnologia;coordenador;profissional;recife;entre 1 e 2 anos;feminino;geração y;empresa;diretoria b;gerência b2;coordenação b22;área b222;20/01/2022;7;-;6;-;5;Gostaria de participar de mais treinamentos e workshops.;7;-;6;-;2;As oportunidades de crescimento são comunicadas abertamente.;2;-;9;A liderança incentiva a criatividade e a inovação.
Demo 201;demo201@pinpeople.com.br;demo201@pinpeople.com.br;administrativo;coordenador;profissional;brasília;menos de 1 ano;feminino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;6;-;3;-;7;Estou comprometido com meu desenvolvimento e busco oportunidades.;3;-;4;-;7;-;6;-;10;Sinto que meu trabalho é reconhecido e valorizado.
Demo 202;demo202@pinpeople.com.br;demo202@pinpeople.com.br;comercial;gerente;gestor;recife;menos de 1 ano;outro;geração x;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;1;Gostaria de contribuir mais para iniciativas estratégicas.;1;-;6;-;6;-;2;-;4;-;2;A empresa oferece bons programas de saúde e bem-estar.
Demo 203;demo203@pinpeople.com.br;demo203@pinpeople.com.br;financeiro;gerente;gestor;manaus;menos de 1 ano;masculino;geração x;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;3;-;6;-;6;-;2;-;3;-;1;-;5;Gostaria de ver mais iniciativas de responsabilidade social corporativa.
Demo 204;demo204@pinpeople.com.br;demo204@pinpeople.com.br;recursos humanos;gerente;gestor;brasília;entre 1 e 2 anos;feminino;baby boomer;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;7;-;2;-;2;-;4;-;4;-;7;-;10;A comunicação entre equipes é eficiente e colaborativa.
Demo 205;demo205@pinpeople.com.br;demo205@pinpeople.com.br;tecnologia;estagiário;profissional;recife;mais de 5 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;6;Sinto que meu potencial não está sendo totalmente utilizado.;7;-;7;O feedback é dado de forma respeitosa e profissional.;6;-;6;-;3;Minha decisão de ficar depende de melhorias no ambiente de trabalho.;10;Sinto que a carga de trabalho está afetando minha saúde mental.
Demo 206;demo206@pinpeople.com.br;demo206@pinpeople.com.br;administrativo;estagiário;profissional;recife;entre 1 e 2 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;2;-;6;-;6;-;7;-;4;-;2;-;5;A empresa valoriza e respeita as contribuições individuais.
Demo 207;demo207@pinpeople.com.br;demo207@pinpeople.com.br;comercial;analista;profissional;brasília;mais de 5 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;6;-;4;-;2;-;3;-;6;-;4;-;1;-;7;Gostaria de ver mais oportunidades de treinamento e desenvolvimento.
Demo 208;demo208@pinpeople.com.br;demo208@pinpeople.com.br;financeiro;analista;profissional;porto alegre;entre 2 e 5 anos;feminino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;6;Gostaria de mudar para uma área que esteja mais alinhada com minhas paixões.;4;-;1;-;5;-;4;Meu gestor incentiva a colaboração na equipe.;6;-;1;-;7;A liderança demonstra empatia e compreensão.
Demo 209;demo209@pinpeople.com.br;demo209@pinpeople.com.br;recursos humanos;analista;profissional;porto alegre;entre 1 e 2 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;1;-;6;Gostaria de aprender novas tecnologias relevantes para o mercado.;4;-;6;-;5;-;6;-;9;Sinto que há pouca transparência nas decisões corporativas.
Demo 210;demo210@pinpeople.com.br;demo210@pinpeople.com.br;tecnologia;analista;profissional;porto alegre;entre 2 e 5 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;1;-;7;-;6;-;5;-;4;-;4;-;3;-;6;A empresa oferece um ambiente de trabalho inclusivo e diversificado.
Demo 211;demo211@pinpeople.com.br;demo211@pinpeople.com.br;administrativo;coordenador;profissional;manaus;entre 1 e 2 anos;masculino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;5;-;6;-;7;-;6;-;6;-;3;Sinto que minhas expectativas de carreira são alinhadas com as da empresa.;1;-;9;Gostaria de ter mais oportunidades de participar de projetos estratégicos.
Demo 212;demo212@pinpeople.com.br;demo212@pinpeople.com.br;comercial;coordenador;profissional;são paulo;mais de 5 anos;outro;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;5;-;7;-;6;Gostaria de ter acesso a cursos online patrocinados pela empresa.;4;-;6;-;6;-;6;-;9;A cultura da empresa promove a inovação e a melhoria contínua.
Demo 213;demo213@pinpeople.com.br;demo213@pinpeople.com.br;financeiro;coordenador;profissional;porto alegre;entre 1 e 2 anos;outro;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;1;-;2;-;5;-;6;-;3;-;3;-;6;Sinto que meu trabalho é impactante e significativo.
Demo 214;demo214@pinpeople.com.br;demo214@pinpeople.com.br;recursos humanos;gerente;gestor;manaus;mais de 5 anos;masculino;baby boomer;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;7;-;1;-;6;-;5;-;6;-;6;Estou comprometido com os projetos atuais e futuros da empresa.;9;A empresa oferece benefícios competitivos e atrativos.
Demo 215;demo215@pinpeople.com.br;demo215@pinpeople.com.br;tecnologia;gerente;gestor;são paulo;mais de 5 anos;feminino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c111;20/01/2022;7;-;6;-;7;-;6;-;4;-;2;-;4;-;9;Gostaria de ver mais iniciativas para melhorar o bem-estar dos funcionários.
Demo 216;demo216@pinpeople.com.br;demo216@pinpeople.com.br;administrativo;coordenador;gestor;recife;entre 2 e 5 anos;feminino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;7;-;7;-;4;-;1;-;3;-;7;-;2;A liderança é inspiradora e motivadora.
Demo 217;demo217@pinpeople.com.br;demo217@pinpeople.com.br;comercial;estagiário;profissional;recife;entre 1 e 2 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;2;-;2;-;3;-;5;-;5;-;2;-;3;-;2;Sinto que há falta de oportunidades de crescimento na minha área.
Demo 218;demo218@pinpeople.com.br;demo218@pinpeople.com.br;financeiro;estagiário;profissional;são paulo;entre 2 e 5 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;7;-;4;-;1;Sinto que o feedback é limitado apenas a aspectos negativos.;5;-;5;-;6;-;8;A empresa promove um ambiente de trabalho saudável e positivo.
Demo 219;demo219@pinpeople.com.br;demo219@pinpeople.com.br;recursos humanos;analista;profissional;recife;mais de 5 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;7;-;6;-;6;-;5;-;4;-;1;Gostaria de conhecer mais sobre as diferentes áreas da empresa.;6;-;8;Gostaria de ter mais clareza nas expectativas de carreira.
Demo 220;demo220@pinpeople.com.br;demo220@pinpeople.com.br;tecnologia;analista;profissional;brasília;mais de 5 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;Sinto-me estagnado no meu cargo atual e busco novas oportunidades.;7;-;6;Gostaria de participar de programas de desenvolvimento de liderança.;4;-;4;-;4;-;5;Pretendo continuar contribuindo.;9;A cultura de feedback é forte e construtiva.
Demo 221;demo221@pinpeople.com.br;demo221@pinpeople.com.br;administrativo;analista;profissional;são paulo;mais de 5 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;3;-;6;-;5;-;6;-;5;-;4;-;10;Sinto que a comunicação interna poderia ser mais eficaz.
Demo 222;demo222@pinpeople.com.br;demo222@pinpeople.com.br;comercial;analista;profissional;são paulo;mais de 5 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;7;-;4;-;7;-;6;-;3;-;1;-;0;A empresa oferece boas oportunidades de desenvolvimento profissional.
Demo 223;demo223@pinpeople.com.br;demo223@pinpeople.com.br;financeiro;coordenador;profissional;são paulo;mais de 5 anos;outro;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;-;1;-;7;-;7;-;4;-;5;-;6;-;10;Gostaria de ver mais reconhecimento pelo trabalho bem feito.
Demo 224;demo224@pinpeople.com.br;demo224@pinpeople.com.br;recursos humanos;coordenador;profissional;recife;mais de 5 anos;feminino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;Estou interessado em programas de intercâmbio interno.;6;-;7;-;6;-;4;-;5;-;3;-;9;A liderança demonstra compromisso com o sucesso da equipe.
Demo 225;demo225@pinpeople.com.br;demo225@pinpeople.com.br;tecnologia;coordenador;profissional;recife;mais de 5 anos;feminino;geração y;empresa;diretoria c;gerência c1;coordenação c11;área c112;20/01/2022;6;Tenho interesse em posições que envolvam pesquisa.;7;-;7;-;2;-;1;-;7;-;3;-;7;Sinto que há pouca inovação nos projetos atuais.
Demo 226;demo226@pinpeople.com.br;demo226@pinpeople.com.br;administrativo;gerente;gestor;brasília;menos de 1 ano;masculino;geração y;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;6;-;7;-;7;-;5;-;1;-;3;-;4;-;6;A empresa valoriza a diversidade e a inclusão.
Demo 227;demo227@pinpeople.com.br;demo227@pinpeople.com.br;comercial;gerente;gestor;manaus;mais de 5 anos;masculino;geração y;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;1;-;7;-;5;-;6;Apresento melhores resultados quando recebo orientações claras.;1;-;6;Sinto que o processo de promoção não é transparente.;4;-;6;Gostaria de ter mais oportunidades de liderar iniciativas.
Demo 228;demo228@pinpeople.com.br;demo228@pinpeople.com.br;financeiro;coordenador;gestor;manaus;mais de 5 anos;outro;geração y;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;7;-;7;-;7;-;6;-;6;Sinto que há barreiras na comunicação com a liderança.;3;-;6;-;8;A cultura da empresa promove o equilíbrio entre vida pessoal e profissional.
Demo 229;demo229@pinpeople.com.br;demo229@pinpeople.com.br;recursos humanos;estagiário;profissional;brasília;entre 1 e 2 anos;outro;geração z;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;6;-;7;-;4;-;2;-;4;-;6;-;1;-;4;Sinto que há falta de suporte para meu desenvolvimento profissional.
Demo 230;demo230@pinpeople.com.br;demo230@pinpeople.com.br;tecnologia;estagiário;profissional;recife;menos de 1 ano;outro;geração z;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;7;-;7;Acredito que minha dedicação é reconhecida.;5;-;6;Gostaria de receber feedbacks mais frequentes.;6;-;3;-;5;Consideraria outras ofertas se surgissem.;6;A empresa valoriza a transparência e a honestidade.
Demo 231;demo231@pinpeople.com.br;demo231@pinpeople.com.br;administrativo;analista;profissional;brasília;menos de 1 ano;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;7;Tenho interesse em cargos de liderança no futuro.;2;-;2;-;7;-;5;-;2;-;1;-;10;Gostaria de ter mais clareza sobre as oportunidades de promoção.
Demo 232;demo232@pinpeople.com.br;demo232@pinpeople.com.br;comercial;analista;profissional;brasília;entre 1 e 2 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;7;Gostaria de contribuir em áreas relacionadas à sustentabilidade.;1;-;4;-;4;-;6;-;5;-;2;-;9;A liderança incentiva a criatividade e a inovação.
Demo 233;demo233@pinpeople.com.br;demo233@pinpeople.com.br;financeiro;analista;profissional;manaus;entre 2 e 5 anos;masculino;geração z;empresa;diretoria c;gerência c1;coordenação c12;área c121;20/01/2022;6;-;6;-;1;-;7;-;5;-;2;-;5;Minha decisão de ficar depende de reconhecimento.;7;Sinto que meu trabalho é reconhecido e valorizado.
